date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-10-05,ETH,353.73,353.62,0.0311,bykaranteli.com
2020-10-06,BTC,10602.66,10599.66,0.0283,bykaranteli.com
2020-10-06,ETH,340.78,340.75,0.0088,bykaranteli.com
2020-10-07,BTC,10670.47,10666.39,0.0383,bykaranteli.com
2020-10-07,ETH,341.68,341.58,0.0293,bykaranteli.com
2020-10-08,BTC,10933.09,10925.57,0.0688,bykaranteli.com
2020-10-08,ETH,351.25,350.95,0.0855,bykaranteli.com
2020-10-09,BTC,11057.07,11050.64,0.0582,bykaranteli.com
2020-10-09,ETH,365.36,365.02,0.0931,bykaranteli.com
2020-10-10,BTC,11299.5,11293.22,0.0556,bykaranteli.com
2020-10-10,ETH,370.75,370.52,0.0621,bykaranteli.com
2020-10-11,BTC,11374.01,11369.02,0.0439,bykaranteli.com
2020-10-11,ETH,374.38,374.16,0.0588,bykaranteli.com
2020-10-12,BTC,11535.46,11528.25,0.0625,bykaranteli.com
2020-10-12,ETH,386.74,386.51,0.0595,bykaranteli.com
2020-10-13,BTC,11428.22,11420.56,0.0671,bykaranteli.com
2020-10-13,ETH,381.37,381.04,0.0866,bykaranteli.com
2020-10-14,BTC,11427.7,11417.89,0.0859,bykaranteli.com
2020-10-14,ETH,378.97,378.69,0.0739,bykaranteli.com
2020-10-15,BTC,11509.34,11505.12,0.0367,bykaranteli.com
2020-10-15,ETH,377.94,377.64,0.0794,bykaranteli.com
2020-10-16,BTC,11328.95,11319.32,0.0851,bykaranteli.com
2020-10-16,ETH,365.57,365.5,0.0192,bykaranteli.com
2020-10-17,BTC,11367.89,11360.2,0.0677,bykaranteli.com
2020-10-17,ETH,368.48,368.32,0.0434,bykaranteli.com
2020-10-18,BTC,11514.2,11503.14,0.0961,bykaranteli.com
2020-10-18,ETH,378.58,378.11,0.1243,bykaranteli.com
2020-10-19,BTC,11760.45,11751.47,0.0764,bykaranteli.com
2020-10-19,ETH,379.36,379.3,0.0158,bykaranteli.com
